account_id,customer_id,branch_id,account_type,open_date,current_balance,account_status
A000106,C07390,BR003,Savings,2024-10-28,9904414.5,Active
A000107,C01462,BR021,Current,2024-07-24,16257395.12,Active
A000108,C06479,BR010,Current,2020-01-19,22631958.35,Active
A000109,C01441,BR017,Current,2026-07-12,192122310.4,Inactive
A000110,C05500,BR007,Current,2023-09-20,10413083.01,Inactive
A000111,C04003,BR017,Savings,2026-05-25,4131424.04,Active
A000112,C06893,BR042,Savings,2026-06-04,89291354.9,Active
A000113,C04866,BR045,Savings,2026-07-18,10403117.61,Active
A000114,C04004,BR035,Savings,2022-04-06,32187656.53,Active
A000115,C03470,BR045,Current,2025-07-31,19033209.72,Active
A000116,C03906,BR037,Credit,2024-04-29,12648760.14,Active
A000117,C05942,BR033,Current,2025-07-28,19168340.13,Active
A000118,C02575,BR016,Current,2024-07-09,7333807.64,Active
A000119,C01301,BR013,Savings,2019-10-25,112474216.18,Active
A000120,C03235,BR044,Current,2025-10-05,5229792.72,Active
A000121,C06980,BR002,Credit,2022-08-20,44818215.91,Active
A000122,C03805,BR038,Credit,2025-07-23,67490488.24,Active
A000123,C03440,BR009,Current,2023-09-08,60431164.06,Active
A000124,C09925,BR018,Savings,2024-12-19,28103960.12,Active
A000125,C05756,BR033,Savings,2026-05-06,35509639.84,Inactive
A000126,C01987,BR016,Current,2026-05-13,46605186.25,Active
A000127,C01873,BR012,Savings,2025-01-31,200000000.0,Active
A000128,C06112,BR036,Savings,2021-08-23,15507463.98,Inactive
A000129,C07702,BR038,Savings,2026-08-26,46729279.56,Active
A000130,C01258,BR018,Current,2025-08-10,33722268.47,Inactive
A000131,C01016,BR010,Current,2026-07-18,33277323.99,Active
A000132,C00126,BR004,Current,2024-07-16,62019068.58,Active
A000133,C07414,BR041,Savings,2023-09-28,10725239.29,Active
A000134,C01951,BR033,Savings,2025-05-25,56426963.35,Active
A000135,C04637,BR006,Savings,2026-01-04,19372656.48,Active
A000136,C07258,BR038,Savings,2025-04-08,70396024.71,Active
A000137,C05242,BR016,Savings,2024-09-30,19353066.52,Active
A000138,C05121,BR010,Current,2026-02-22,238877479.93,Active
A000139,C09212,BR038,Current,2025-07-24,10232130.55,Active
A000140,C05088,BR028,Savings,2021-11-07,64634696.29,Active
A000141,C08169,BR040,Savings,2023-12-11,90381928.11,Active
A000142,C08986,BR006,Savings,2019-09-05,12495835.89,Closed
A000143,C08865,BR034,Current,2025-07-31,20951757.96,Active
A000144,C01888,BR040,Savings,2026-07-31,53300050.83,Active
A000145,C01324,BR025,Savings,2025-07-06,25996158.96,Active
A000146,C02780,BR022,Savings,2026-02-28,47374665.46,Active
A000147,C01746,BR044,Current,2026-04-02,5955739.32,Active
A000148,C08077,BR018,Savings,2026-04-19,5933559.48,Inactive
A000149,C01466,BR009,Savings,2024-03-17,15367228.82,Active
A000150,C09516,BR008,Credit,2026-03-03,18710971.99,Active
A000151,C01683,BR009,Current,2025-01-24,10507339.77,Active
A000152,C03369,BR050,Savings,2023-12-19,3740489.76,Active
A000153,C04489,BR029,Savings,2023-02-10,44848908.03,Active
A000154,C01199,BR037,Savings,2021-08-04,46688357.36,Active
A000155,C01896,BR019,Current,2021-05-20,56278779.75,Active
A000156,C09337,BR009,Current,2024-08-18,36556802.5,Active
A000157,C01418,BR024,Savings,2024-09-25,8944120.27,Active
A000158,C08128,BR025,Credit,2026-03-29,6362888.82,Active
A000159,C09666,BR040,Savings,2026-08-25,69863588.86,Active
A000160,C00474,BR029,Savings,2022-04-18,74349280.65,Active
A000161,C02046,BR037,Savings,2021-09-09,461670165.97,Active
A000162,C08652,BR017,Credit,2023-01-07,46453245.42,Active
A000163,C00690,BR049,Savings,2024-08-24,134895856.33,Active
A000164,C00900,BR016,Current,2025-11-22,18547085.21,Inactive
A000165,C03444,BR016,Current,2026-07-31,266564710.19,Active
A000166,C02409,BR050,Savings,2025-11-14,8485999.41,Active
A000167,C00371,BR038,Savings,2023-02-07,12937657.11,Active
A000168,C05123,BR049,Savings,2025-12-30,7803163.28,Active
A000169,C06213,BR009,Savings,2026-01-10,366751354.54,Active
A000170,C02608,BR039,Current,2023-04-15,16061115.26,Active
A000171,C09008,BR038,Current,2023-11-22,96083896.64,Active
A000172,C04525,BR036,Savings,2024-12-05,61623551.61,Active
A000173,C09031,BR007,Savings,2023-02-06,13491966.38,Inactive
A000174,C03416,BR042,Credit,2026-04-06,781809768.51,Active
A000175,C08600,BR036,Savings,2024-08-24,93947659.42,Active
A000176,C09810,BR007,Current,2025-01-14,12397003.12,Active
A000177,C02754,BR046,Savings,2026-07-29,13636128.6,Active
A000178,C08222,BR027,Savings,2021-08-27,76772626.3,Active
A000179,C00447,BR046,Current,2025-03-17,97306328.68,Active
A000180,C01949,BR012,Current,2024-12-04,6962882.83,Active
A000181,C09500,BR032,Savings,2026-01-18,4644937.4,Active
A000182,C01745,BR045,Savings,2018-11-28,25317304.03,Active
A000183,C09842,BR042,Current,2026-08-27,30770279.33,Active
A000184,C00080,BR047,Credit,2023-06-30,134824201.35,Closed
A000185,C06461,BR050,Credit,2026-02-21,16979857.96,Active
A000186,C04655,BR025,Savings,2020-06-21,646590295.35,Active
A000187,C07543,BR012,Savings,2023-04-22,619353613.48,Active
A000188,C00510,BR016,Savings,2022-11-03,28167073.47,Active
A000189,C06015,BR034,Savings,2024-11-29,7541473.17,Active
A000190,C07772,BR037,Credit,2023-10-05,145528466.97,Active
A000191,C08766,BR049,Current,2024-08-26,10992297.54,Active
A000192,C00629,BR002,Current,2026-02-01,14792834.58,Closed
A000193,C01996,BR040,Current,2023-12-13,12360591.41,Active
A000194,C01340,BR038,Credit,2026-03-09,3342429.49,Active
A000195,C02189,BR044,Savings,2023-11-13,59465974.44,Active
A000196,C05313,BR026,Current,2025-04-05,12046972.82,Active
A000197,C04094,BR003,Current,2024-09-15,17222449.47,Active
A000198,C01056,BR012,Current,2026-06-23,40596806.01,Active
A000199,C06163,BR032,Current,2025-04-06,2298076.31,Active
A000200,C06959,BR048,Savings,2021-08-05,9961175.67,Active
A000201,C08230,BR032,Savings,2018-10-09,61010412.31,Inactive
A000202,C00956,BR038,Savings,2024-08-24,11461598.25,Active
A000203,C06176,BR005,Savings,2022-03-16,70851491.77,Active
A000204,C04342,BR013,Savings,2025-09-02,47739447.12,Active
A000205,C05195,BR013,Credit,2026-03-18,128181579.39,Active
A000206,C00078,BR038,Savings,2024-12-06,156436679.26,Active
A000207,C03267,BR022,Current,2025-04-04,15576235.99,Active
A000208,C07134,BR026,Savings,2025-02-07,30038067.75,Active
A000209,C02251,BR016,Savings,2026-05-05,18657322.76,Active
A000210,C03565,BR022,Savings,2025-08-01,4412864.49,Inactive
A000211,C07062,BR028,Savings,2026-07-05,20002609.99,Active
A000212,C09416,BR002,Credit,2026-07-16,15386122.57,Active
A000213,C09915,BR021,Current,2025-02-17,69055607.19,Active
A000214,C08259,BR030,Current,2021-09-06,11169520.4,Active
A000215,C01284,BR001,Current,2026-03-24,327088814.33,Active
A000216,C00992,BR037,Savings,2020-07-12,7765783.31,Active
A000217,C07934,BR038,Savings,2026-05-23,31510025.53,Active
A000218,C09984,BR022,Savings,2026-04-12,80107196.17,Active
A000219,C06637,BR030,Savings,2023-08-08,14286265.08,Active
A000220,C05972,BR038,Savings,2025-08-02,38450059.37,Active
A000221,C01630,BR016,Savings,2026-04-22,222693837.6,Closed
A000222,C03790,BR049,Savings,2023-03-24,67649638.77,Active
A000223,C09723,BR038,Savings,2020-08-10,139975658.29,Active
A000224,C08666,BR028,Savings,2024-05-29,103208435.41,Active
A000225,C02419,BR030,Current,2020-07-15,15089511.69,Active
A000226,C00297,BR038,Savings,2025-09-23,17662683.82,Active
A000227,C05278,BR044,Current,2023-04-11,49423225.44,Active
A000228,C02153,BR043,Savings,2025-10-27,11741982.73,Active
A000229,C07486,BR047,Savings,2025-04-09,9426661.25,Active
A000230,C02680,BR049,Credit,2023-07-21,30850457.32,Active
A000231,C05994,BR008,Current,2025-04-23,13900006.51,Active
A000232,C08950,BR021,Savings,2021-03-12,5311524.97,Active
A000233,C01509,BR021,Current,2023-10-10,8408982.02,Active
A000234,C09799,BR045,Savings,2020-12-23,1160253.46,Active
A000235,C07542,BR033,Savings,2026-07-10,10099199.06,Active
A000236,C07834,BR015,Current,2023-11-01,82136145.4,Active
A000237,C08122,BR001,Current,2024-11-01,13452184.67,Active
A000238,C05517,BR027,Savings,2026-08-08,319940384.74,Active
A000239,C03582,BR002,Savings,2024-02-07,23759323.78,Active
A000240,C04537,BR041,Savings,2025-07-02,535014921.39,Active
A000241,C01030,BR033,Credit,2025-12-06,25323639.08,Inactive
A000242,C05367,BR007,Savings,2026-06-23,61977858.28,Active
A000243,C04250,BR005,Savings,2025-03-08,237128670.81,Active
A000244,C09640,BR011,Savings,2023-09-17,7997949.87,Active
A000245,C05654,BR049,Savings,2025-09-23,7910141.49,Active
A000246,C05368,BR021,Savings,2023-04-03,3530896.62,Active
A000247,C06751,BR038,Credit,2022-02-10,5405233.43,Active
A000248,C00159,BR027,Savings,2024-01-19,30184390.6,Active
A000249,C00986,BR007,Savings,2024-10-19,13379429.93,Active
A000250,C05634,BR031,Savings,2025-05-23,10003432.32,Active
A000251,C04974,BR008,Savings,2026-01-22,79697538.47,Active
A000252,C02907,BR038,Savings,2024-10-11,181127301.95,Active
A000253,C08570,BR034,Savings,2025-08-07,80236136.99,Active
A000254,C05914,BR010,Savings,2026-06-26,23111943.21,Active
A000255,C04492,BR020,Savings,2024-04-01,7619923.48,Active
A000256,C06446,BR049,Savings,2021-05-17,9144441.79,Active
A000257,C07611,BR010,Current,2023-01-17,19910190.96,Active
A000258,C09524,BR021,Savings,2024-07-15,300931971.38,Active
A000259,C06028,BR046,Current,2020-09-26,47081026.65,Active
A000260,C07303,BR022,Credit,2023-07-04,23910379.58,Active
A000261,C03609,BR042,Credit,2019-10-04,16931862.62,Active
A000262,C09085,BR030,Credit,2024-08-15,46012158.91,Active
A000263,C04170,BR033,Credit,2025-10-29,28326361.12,Active
A000264,C01168,BR045,Savings,2025-05-23,16062112.2,Active
A000265,C02200,BR008,Current,2024-12-10,150624272.78,Active
A000266,C02676,BR046,Credit,2025-07-06,19659534.98,Active
A000267,C07145,BR047,Savings,2025-12-25,3591163.16,Active
A000268,C03924,BR001,Current,2025-08-28,42679313.07,Active
A000269,C01809,BR039,Current,2019-02-16,49016460.69,Active
A000270,C02544,BR008,Savings,2024-10-03,12220531.85,Active
A000271,C04422,BR028,Savings,2022-12-04,65419834.28,Active
A000272,C08084,BR044,Savings,2026-03-31,11902564.24,Active
A000273,C07897,BR021,Current,2025-02-24,29029025.68,Active
A000274,C05472,BR034,Current,2024-09-20,12132297.47,Active
A000275,C09015,BR046,Savings,2025-12-04,61116723.89,Inactive
A000276,C02654,BR018,Current,2024-10-23,31112390.92,Active
A000277,C02027,BR039,Current,2021-04-22,34039688.84,Active
A000278,C00446,BR031,Current,2024-02-08,8765750.94,Inactive
A000279,C07953,BR046,Savings,2022-10-27,6286634.92,Active
A000280,C09238,BR007,Savings,2021-08-23,17787974.89,Closed
A000281,C04993,BR041,Savings,2025-01-05,46766528.83,Active
A000282,C06830,BR045,Current,2023-09-19,55360133.17,Inactive
A000283,C07752,BR037,Current,2023-08-11,18445461.31,Active
A000284,C08016,BR048,Current,2026-05-14,11552063.77,Active
A000285,C07767,BR025,Current,2026-06-13,95329346.5,Active
A000286,C08467,BR006,Savings,2022-11-12,75917456.73,Active
A000287,C05990,BR021,Savings,2020-11-06,123286804.86,Active
A000288,C01939,BR031,Current,2026-06-02,20549586.14,Active
A000289,C05548,BR043,Savings,2025-10-31,7534789.5,Active
A000290,C04923,BR039,Current,2025-11-10,37381915.63,Active
A000291,C00170,BR002,Credit,2025-08-21,6990460.42,Active
A000292,C01635,BR031,Current,2025-08-24,20915292.63,Active
A000293,C09759,BR049,Savings,2026-04-03,34346573.3,Active
A000294,C07828,BR033,Savings,2024-09-11,19761875.56,Active
A000295,C01882,BR018,Savings,2023-10-22,12512579.55,Active
A000296,C01402,BR028,Current,2026-06-29,9055444.42,Active
A000297,C06436,BR044,Credit,2026-04-07,174434002.43,Active
A000298,C08337,BR034,Current,2022-04-13,78653691.52,Active
A000299,C04783,BR010,Savings,2023-09-08,16711460.89,Active
A000300,C07928,BR037,Current,2025-02-17,31802364.82,Inactive
A000301,C05123,BR030,Current,2026-08-26,19741963.18,Active
A000302,C07738,BR046,Savings,2026-08-03,640556339.78,Active
A000303,C04914,BR041,Credit,2022-02-28,5908622.82,Active
A000304,C06681,BR049,Savings,2026-02-05,10150684.86,Active
A000305,C04627,BR048,Current,2026-01-26,20582182.06,Active
A000306,C00950,BR011,Savings,2025-09-21,186936744.61,Active
A000307,C09774,BR037,Savings,2019-12-30,7795470.22,Active
A000308,C07338,BR046,Current,2022-05-12,2948837.17,Active
A000309,C09452,BR017,Savings,2025-11-13,10068771.06,Active
A000310,C03566,BR022,Savings,2021-11-28,33654769.1,Inactive
A000311,C06263,BR050,Current,2026-03-13,4224638.64,Active
A000312,C03733,BR014,Savings,2024-07-31,5850424.88,Active
A000313,C01852,BR030,Savings,2024-02-17,16992720.9,Closed
A000314,C07738,BR037,Credit,2026-07-06,318988850.98,Active
A000315,C08671,BR043,Savings,2023-04-12,563127653.09,Active
A000316,C05262,BR020,Savings,2026-02-21,5612907.14,Active
A000317,C02629,BR040,Credit,2023-03-11,11565971.85,Closed
A000318,C09442,BR011,Current,2025-04-25,184685876.37,Active
A000319,C04597,BR038,Current,2026-06-16,5776126.18,Inactive
A000320,C05828,BR046,Savings,2026-07-31,48890350.13,Active
A000321,C09589,BR047,Savings,2025-08-24,6386054.4,Active
A000322,C00532,BR020,Savings,2026-08-27,29593521.32,Active
A000323,C06865,BR009,Savings,2024-09-28,11130436.61,Active
A000324,C07314,BR002,Savings,2025-10-20,6002185.15,Active
A000325,C04138,BR008,Savings,2026-06-07,10079775.23,Active
A000326,C02391,BR038,Current,2022-11-23,23196317.83,Active
A000327,C03830,BR044,Savings,2024-02-27,79617095.57,Active
A000328,C03645,BR038,Savings,2019-07-27,175029621.04,Active
A000329,C01046,BR022,Current,2025-10-12,47306241.85,Active
A000330,C04747,BR021,Savings,2026-04-28,5821894.18,Active
A000331,C05832,BR030,Savings,2024-01-06,5490585.43,Inactive
A000332,C03671,BR017,Savings,2019-07-17,5281526.59,Active
A000333,C01208,BR027,Current,2026-08-26,170472889.4,Active
A000334,C04957,BR007,Savings,2025-02-15,36285630.82,Active
A000335,C03125,BR043,Savings,2021-12-03,118425017.92,Active
A000336,C05139,BR021,Savings,2023-01-24,9699051.94,Active
A000337,C05150,BR014,Savings,2026-04-15,14867358.85,Active
A000338,C04772,BR049,Current,2026-01-27,46131435.02,Active
A000339,C08574,BR046,Savings,2026-02-12,69024318.32,Active
A000340,C01021,BR007,Savings,2025-02-02,18459103.58,Active
A000341,C05929,BR030,Current,2025-11-19,1787155.51,Active
A000342,C09935,BR034,Savings,2026-06-29,19027396.79,Active
A000343,C04709,BR006,Current,2025-02-08,31685168.63,Active
A000344,C09808,BR035,Current,2025-06-13,17952978.85,Active
A000345,C06087,BR002,Savings,2026-01-13,133031651.06,Inactive
A000346,C06964,BR050,Credit,2025-08-27,19959445.71,Active
A000347,C09956,BR045,Current,2024-10-22,5586393.27,Active
A000348,C02956,BR037,Current,2024-11-19,7382109.62,Active
A000349,C04130,BR038,Savings,2025-08-17,11601430.99,Active
A000350,C03737,BR036,Current,2026-05-31,35176632.89,Active
A000351,C04581,BR026,Credit,2026-03-12,189658654.25,Active
A000352,C06645,BR026,Current,2024-08-12,21601706.32,Active
A000353,C02176,BR038,Savings,2023-11-13,19125151.02,Active
A000354,C01448,BR005,Savings,2022-04-03,1245000196.27,Active
A000355,C03415,BR050,Savings,2022-08-27,14508089.33,Inactive
A000356,C04174,BR022,Credit,2026-07-12,3684900.29,Active
A000357,C00492,BR007,Savings,2026-04-25,25167326.18,Active
A000358,C09942,BR022,Credit,2022-10-04,357331986.14,Active
A000359,C09815,BR022,Credit,2022-05-20,131722175.84,Active
A000360,C07507,BR043,Savings,2026-06-17,46093111.81,Closed
A000361,C00754,BR047,Savings,2026-08-08,6312258.26,Active
A000362,C00664,BR038,Current,2026-07-29,6998355.09,Active
A000363,C00333,BR022,Current,2019-05-18,325168968.71,Active
A000364,C08251,BR023,Savings,2022-01-16,11544258.9,Inactive
A000365,C09157,BR035,Savings,2026-08-20,50308611.19,Active
A000366,C08253,BR002,Current,2026-04-19,13214317.3,Inactive
A000367,C09309,BR020,Current,2022-03-03,11640897.71,Active
A000368,C00561,BR040,Savings,2025-12-16,52571307.65,Active
A000369,C07361,BR007,Savings,2025-11-12,6662322.91,Active
A000370,C03370,BR023,Savings,2024-05-07,38573472.0,Active
A000371,C08858,BR030,Savings,2026-06-29,385911022.66,Active
A000372,C07301,BR041,Current,2025-04-05,39396280.64,Active
A000373,C02021,BR036,Current,2023-11-24,53204630.72,Active
A000374,C06747,BR036,Savings,2025-03-13,16052880.57,Active
A000375,C05766,BR018,Current,2025-11-16,11658077.8,Active
A000376,C07826,BR050,Savings,2025-05-15,15815544.2,Closed
A000377,C03236,BR041,Current,2023-03-27,13904793.87,Inactive
A000378,C00217,BR010,Savings,2025-10-08,25081991.43,Active
A000379,C09060,BR040,Savings,2026-03-23,51937158.64,Active
A000380,C05773,BR018,Savings,2024-11-30,18259367.12,Active
A000381,C04571,BR050,Current,2026-07-31,5915469.41,Active
A000382,C05434,BR013,Savings,2026-01-18,18816992.36,Active
A000383,C02294,BR038,Current,2026-06-20,2330238.95,Active
A000384,C09380,BR009,Savings,2024-05-15,27783284.15,Active
A000385,C08654,BR021,Current,2026-08-10,9141899.13,Active
A000386,C01027,BR011,Credit,2025-12-29,10424196.25,Active
A000387,C05854,BR030,Credit,2025-10-01,112587941.65,Active
A000388,C08519,BR024,Credit,2020-05-31,55745290.16,Active
A000389,C00198,BR022,Current,2019-07-29,541938587.23,Active
A000390,C09210,BR024,Savings,2025-03-07,16187857.96,Active
A000391,C02471,BR001,Savings,2025-05-09,75424784.39,Active
A000392,C02025,BR050,Savings,2024-06-13,26605058.07,Active
A000393,C08348,BR006,Savings,2026-01-25,7785516.25,Active
A000394,C07749,BR002,Savings,2024-04-12,24290334.0,Active
A000395,C05684,BR022,Current,2026-04-08,8692258.04,Active
A000396,C02162,BR040,Credit,2024-01-23,39344092.86,Active
A000397,C08610,BR044,Current,2024-08-20,413437999.09,Active
A000398,C00536,BR040,Savings,2026-03-25,25359627.52,Active
A000399,C03072,BR038,Savings,2025-04-24,227467861.12,Active
A000400,C06004,BR029,Savings,2024-07-10,26699157.0,Active
A000401,C04603,BR014,Current,2025-04-04,9782945.19,Active
A000402,C04689,BR014,Current,2023-05-29,17604798.96,Active
A000403,C08446,BR046,Savings,2026-07-01,327455214.77,Active
A000404,C03014,BR027,Savings,2023-11-15,9867112.0,Active
A000405,C09300,BR022,Current,2024-11-26,6531184.77,Active
A000406,C05528,BR015,Credit,2026-01-22,6053851.39,Active
A000407,C02716,BR018,Credit,2024-01-24,68700471.75,Active
A000408,C00837,BR021,Savings,2020-02-22,6721239.12,Active
A000409,C08286,BR047,Current,2024-08-13,57240732.01,Active
A000410,C04746,BR036,Savings,2025-05-08,17834511.51,Active
A000411,C02684,BR049,Savings,2022-09-09,157943133.16,Active
A000412,C09783,BR007,Savings,2026-02-03,11812022.74,Active
A000413,C09818,BR010,Current,2023-01-18,6024849.16,Active
A000414,C01893,BR007,Credit,2025-11-21,5262125.56,Active
A000415,C02043,BR035,Savings,2019-10-04,7254752.76,Active
A000416,C03132,BR033,Current,2023-02-22,19807696.94,Active
A000417,C04317,BR038,Current,2026-08-28,22736158.59,Closed
A000418,C06164,BR004,Savings,2025-07-14,24303176.44,Active
A000419,C00902,BR008,Savings,2025-10-22,106377597.77,Active
A000420,C04753,BR007,Savings,2026-07-31,79977088.87,Active
A000421,C05833,BR009,Credit,2023-07-26,39008647.53,Inactive
A000422,C01013,BR045,Savings,2026-01-02,20681156.57,Active
A000423,C05592,BR032,Savings,2026-08-18,111874820.66,Active
A000424,C01873,BR026,Savings,2020-03-27,5872683.96,Active
A000425,C09941,BR049,Savings,2020-06-17,157534953.36,Active
A000426,C03772,BR048,Savings,2023-08-16,97427504.16,Inactive
A000427,C04800,BR047,Savings,2026-07-10,29251147.13,Active
A000428,C06950,BR038,Current,2023-12-25,13167912.11,Active
A000429,C00482,BR006,Savings,2023-03-06,11644263.3,Active
A000430,C07049,BR013,Savings,2026-07-12,12689806.28,Active
A000431,C09356,BR040,Savings,2026-01-07,190441693.54,Active
A000432,C07378,BR028,Savings,2025-03-04,95459815.55,Active
A000433,C07800,BR043,Savings,2024-01-06,6033215.56,Inactive
A000434,C02503,BR007,Savings,2020-12-15,3307828.63,Active
A000435,C01022,BR029,Savings,2026-01-15,17880872.15,Active
A000436,C03921,BR029,Current,2026-07-24,355996039.97,Active
A000437,C08245,BR003,Current,2026-05-12,9498312.85,Active
