loan_id,customer_id,branch_id,loan_type,loan_amount,interest_rate,loan_start_date,loan_term_months,outstanding_balance,payment_status,risk_level
L000060,C08149,BR002,Mortgage,607557355.99,8.88,2024-02-23,240,539974353.31,Default,Medium
L000061,C06915,BR038,Personal,132024667.11,10.84,2025-06-29,12,29187564.67,Current,High
L000062,C09440,BR047,Personal,74423587.66,16.22,2025-04-21,12,32799004.26,Current,Low
L000063,C07639,BR030,Auto,127600051.19,11.95,2022-10-22,36,17955850.05,Current,Medium
L000064,C01295,BR012,Mortgage,648910897.78,10.07,2025-02-20,300,454948671.58,Late,High
L000065,C07111,BR035,Mortgage,4412939180.14,6.74,2024-10-06,180,554534740.17,Current,Medium
L000066,C03243,BR047,Auto,312669808.58,8.86,2024-06-17,72,85164151.22,Current,Low
L000067,C07295,BR030,Mortgage,604635159.59,10.41,2026-03-10,120,485366549.53,Late,High
L000068,C06150,BR016,Personal,166209960.09,10.7,2020-08-30,36,55497230.48,Current,Medium
L000069,C00262,BR008,Mortgage,2159725006.71,6.9,2022-12-30,120,1275214254.35,Current,Medium
L000070,C03379,BR009,Auto,334945226.04,10.58,2025-07-04,60,255152062.87,Current,Low
L000071,C02759,BR014,Personal,440161965.76,17.35,2023-06-13,60,69469271.9,Current,Low
L000072,C03751,BR036,Mortgage,768381425.2,10.35,2025-04-07,240,313434820.99,Current,High
L000073,C02565,BR044,Mortgage,855598791.68,8.51,2025-01-03,300,317336645.55,Current,Medium
L000074,C03402,BR020,Auto,876538601.21,10.83,2026-05-29,48,613281884.81,Current,Medium
L000075,C08137,BR048,Personal,35415341.08,11.12,2025-10-27,24,24046214.09,Current,Low
L000076,C09120,BR024,Personal,85109080.31,13.84,2021-08-19,24,50460047.4,Current,Low
L000077,C05482,BR046,Personal,877244301.57,16.66,2025-08-06,12,109302008.42,Current,Medium
L000078,C09619,BR022,Auto,716151534.0,9.46,2025-08-19,36,360494183.67,Current,Low
L000079,C04008,BR002,Auto,306356512.38,9.11,2026-08-18,72,39019059.22,Current,Low
L000080,C02370,BR003,Business,413896127.06,10.46,2020-08-29,24,291327946.05,Current,Medium
L000081,C03698,BR047,Personal,73724290.57,13.42,2026-07-31,60,44140404.23,Current,High
L000082,C03582,BR007,Mortgage,329593306.8,9.08,2025-11-25,180,207317901.76,Current,Medium
L000083,C04255,BR012,Auto,1689842729.7,8.24,2025-12-01,72,784591231.72,Current,Medium
L000084,C06268,BR044,Personal,75793112.98,17.74,2023-09-27,48,39674772.95,Current,Low
L000085,C06451,BR042,Personal,194792296.3,11.2,2025-12-15,24,55069715.3,Current,Low
L000086,C00036,BR010,Auto,293434903.69,9.04,2026-02-17,48,169390184.44,Current,Low
L000087,C00764,BR040,Mortgage,1368855767.85,8.75,2025-05-31,300,902353759.54,Late,Medium
L000088,C09719,BR010,Business,627450355.07,8.9,2023-10-28,36,127628180.13,Current,Medium
L000089,C00789,BR009,Personal,195480346.41,17.09,2026-05-11,24,115957586.58,Current,Low
L000090,C07427,BR002,Auto,700896546.81,7.16,2024-09-07,60,249466976.94,Current,Low
L000091,C00933,BR039,Mortgage,1405290684.56,7.23,2021-06-17,120,296041646.71,Current,Low
L000092,C09489,BR027,Personal,147731220.44,15.02,2022-08-31,48,21968712.83,Current,Medium
L000093,C04162,BR038,Auto,373097101.61,8.08,2020-11-10,48,227179374.3,Late,High
L000094,C08085,BR049,Mortgage,299514794.96,9.54,2023-10-19,180,67551361.19,Current,Low
L000095,C05153,BR021,Mortgage,433546570.81,5.56,2026-05-07,300,367562517.36,Late,High
L000096,C05723,BR016,Mortgage,449629490.9,8.86,2021-09-16,300,185282934.53,Late,High
L000097,C01938,BR030,Auto,398561820.93,9.15,2024-09-28,60,227057391.46,Current,Low
L000098,C05011,BR030,Business,880636172.24,11.69,2026-05-02,24,542717182.94,Late,High
L000099,C06247,BR032,Mortgage,497253443.2,6.21,2024-05-18,180,254782578.94,Current,High
L000100,C05264,BR007,Personal,137956199.79,13.83,2022-04-09,36,99991546.33,Late,Medium
L000101,C09008,BR038,Mortgage,1641030927.26,9.61,2024-09-12,240,907614404.08,Current,Medium
L000102,C08961,BR007,Business,387858455.82,11.07,2025-03-20,36,314652637.63,Default,Medium
L000103,C06053,BR035,Personal,111088612.45,16.59,2021-03-10,36,38960952.54,Current,Low
L000104,C09675,BR016,Personal,112151758.92,16.43,2025-09-10,36,78685989.74,Current,Medium
L000105,C07992,BR039,Personal,581408896.05,12.15,2025-04-02,36,160677457.2,Current,Low
L000106,C03498,BR025,Mortgage,2160651923.82,7.95,2023-06-26,120,815972074.07,Current,High
L000107,C08495,BR005,Business,354008095.04,11.37,2026-08-25,24,242054942.43,Current,Medium
L000108,C04667,BR038,Mortgage,634107913.99,9.07,2025-07-24,300,156012353.8,Current,Medium
L000109,C07079,BR031,Personal,89050751.33,12.79,2024-06-10,48,50766762.67,Late,High
L000110,C07572,BR037,Mortgage,417159038.3,5.9,2024-03-15,300,313281651.87,Current,Medium
L000111,C00234,BR024,Business,445948268.54,11.65,2021-02-01,84,229241844.38,Current,Low
L000112,C09331,BR028,Auto,91564719.17,7.24,2025-04-24,72,66158798.47,Current,Low
L000113,C07708,BR050,Personal,134326343.83,12.68,2023-09-25,36,17836355.45,Current,Medium
L000114,C08640,BR030,Personal,50830418.58,13.57,2025-04-14,12,14712017.17,Current,Medium
L000115,C03549,BR041,Auto,197715967.79,9.1,2020-01-26,72,131920980.04,Current,Low
L000116,C05927,BR049,Personal,82608794.97,17.5,2023-10-21,60,10944442.02,Current,Low
L000117,C06860,BR023,Auto,156479877.64,11.38,2024-05-25,72,23154498.92,Current,Low
L000118,C08668,BR044,Personal,157035735.78,10.82,2025-03-14,36,30172164.77,Current,Low
L000119,C07122,BR009,Auto,145875378.89,7.58,2021-06-16,72,117787879.21,Late,High
L000120,C01919,BR050,Business,814990063.22,13.07,2026-08-07,84,516828655.83,Late,High
L000121,C08001,BR046,Business,494322746.22,7.81,2022-04-24,60,412203607.8,Late,High
L000122,C05881,BR031,Mortgage,1108691896.0,6.51,2023-09-24,240,838126913.83,Late,High
L000123,C07385,BR043,Personal,45751179.58,14.9,2024-11-21,60,19652899.24,Current,Medium
L000124,C05386,BR038,Business,861032009.34,9.19,2026-02-10,60,234096339.37,Current,Low
L000125,C04188,BR019,Personal,140121754.47,15.54,2025-10-11,24,82029029.08,Current,Medium
L000126,C05871,BR047,Personal,192177358.42,13.88,2026-08-22,48,119285159.04,Late,Medium
L000127,C07025,BR040,Business,488422890.47,7.97,2023-06-03,60,312477769.31,Late,High
L000128,C00471,BR010,Mortgage,6975222742.83,10.43,2026-07-01,120,3909462291.31,Current,Medium
L000129,C09437,BR026,Auto,595280576.04,9.64,2025-08-25,60,333240658.31,Current,Low
L000130,C03882,BR015,Business,677613634.97,10.82,2021-09-23,60,522648728.13,Current,High
L000131,C07847,BR032,Mortgage,938016907.09,8.65,2026-02-21,120,272758524.03,Current,High
L000132,C09050,BR019,Auto,236866853.93,11.99,2021-08-05,72,38228786.34,Current,Low
L000133,C01060,BR009,Personal,189686034.15,17.63,2025-06-19,12,91230990.66,Current,Low
L000134,C07596,BR049,Personal,15300837.25,16.73,2026-04-15,48,13960448.71,Default,High
L000135,C06819,BR050,Personal,21544188.65,17.08,2025-09-21,36,15229503.5,Current,Low
L000136,C09643,BR009,Mortgage,7233292058.44,7.05,2024-09-06,120,5797933615.42,Late,High
L000137,C09506,BR043,Auto,195182300.02,7.5,2021-11-25,36,150962108.11,Current,Low
L000138,C04071,BR040,Personal,491174292.32,11.47,2021-01-25,60,157269372.4,Current,Low
L000139,C07591,BR015,Auto,116497189.01,7.21,2026-07-06,60,71471472.15,Current,Low
L000140,C08964,BR018,Auto,221428549.62,12.35,2026-07-11,72,116103312.3,Current,Low
L000141,C07486,BR047,Auto,196551471.27,7.78,2026-03-09,72,157768740.72,Default,High
L000142,C04475,BR032,Personal,227318293.45,15.42,2021-06-15,36,37869992.95,Current,Medium
L000143,C03808,BR036,Auto,188432078.65,7.08,2025-01-06,36,97509825.12,Late,Low
L000144,C09668,BR030,Auto,182967720.73,12.41,2025-10-26,60,123927948.4,Default,Medium
L000145,C02764,BR027,Personal,96420361.36,14.97,2022-12-12,12,58714424.47,Late,Medium
L000146,C06347,BR033,Auto,203619830.13,10.36,2024-08-04,72,162218900.71,Current,Low
L000147,C04971,BR038,Personal,1130665093.16,14.8,2025-05-30,36,309715548.25,Current,Low
L000148,C06682,BR020,Personal,92465281.89,15.22,2022-06-24,12,14046880.45,Current,Low
L000149,C00189,BR001,Personal,197558404.48,10.53,2025-12-21,48,118020986.24,Current,Low
L000150,C05730,BR028,Mortgage,1711604742.49,7.11,2026-08-29,240,938214599.09,Current,Medium
L000151,C03234,BR008,Mortgage,334040445.15,7.56,2024-06-13,120,233156394.8,Current,Medium
L000152,C00078,BR038,Personal,225267533.61,15.44,2026-02-08,60,24605506.64,Current,Low
L000153,C02528,BR040,Personal,372475033.61,12.2,2021-01-14,12,163627428.85,Current,Low
L000154,C07112,BR003,Personal,44557211.26,13.14,2024-12-21,48,31938817.26,Current,Low
L000155,C06691,BR006,Business,969113894.26,8.45,2024-03-28,84,141149699.46,Current,Low
L000156,C01047,BR019,Mortgage,538044630.89,9.5,2020-11-26,240,124613944.65,Current,High
L000157,C08566,BR024,Business,2356942215.48,10.28,2025-01-19,36,2137979878.88,Default,High
L000158,C06438,BR050,Auto,94361836.89,12.34,2025-07-08,60,78281971.54,Late,Low
L000159,C06115,BR047,Personal,367850775.56,16.5,2021-10-13,12,161109164.38,Current,Low
L000160,C09722,BR027,Mortgage,653488039.78,5.92,2026-05-03,300,253370251.16,Current,Medium
L000161,C06455,BR011,Mortgage,549623081.92,9.73,2024-09-11,120,438127061.44,Current,Medium
L000162,C06125,BR048,Personal,69790820.53,15.35,2025-10-02,36,34874362.33,Late,Medium
L000163,C08155,BR030,Business,401607361.15,11.97,2025-01-11,36,211857108.5,Current,Medium
L000164,C00179,BR004,Mortgage,575551783.37,7.6,2023-05-11,120,429389576.56,Late,High
L000165,C05021,BR044,Personal,56861434.22,10.58,2025-05-21,48,30982291.61,Current,Low
L000166,C05447,BR050,Auto,1321842371.01,11.92,2026-08-22,36,202680664.95,Current,Medium
L000167,C09941,BR036,Personal,437043385.79,10.42,2023-09-02,60,82161509.38,Current,Low
L000168,C00806,BR017,Personal,116534845.72,15.0,2023-12-04,48,35967608.01,Current,Low
L000169,C00376,BR048,Mortgage,280814513.96,8.04,2024-09-11,300,228776647.19,Late,High
L000170,C09630,BR015,Mortgage,695518288.03,6.42,2024-12-31,120,305198860.67,Late,High
L000171,C03007,BR004,Mortgage,1958130297.98,9.83,2023-04-26,180,1540793101.77,Late,High
L000172,C06219,BR034,Business,615201112.51,7.93,2022-02-12,84,308535595.1,Late,High
L000173,C05475,BR042,Personal,92677031.29,17.34,2022-12-16,60,60727986.38,Current,Medium
L000174,C01211,BR004,Mortgage,1128158087.18,6.55,2021-07-07,180,695164113.74,Late,Medium
L000175,C06305,BR016,Auto,180268149.36,11.81,2026-07-02,72,140886492.07,Late,Low
L000176,C09356,BR040,Auto,2224147119.85,10.02,2025-10-30,72,1415619239.31,Current,Low
L000177,C06397,BR048,Personal,645198047.01,14.16,2024-11-02,60,164237086.82,Current,Low
L000178,C05889,BR032,Mortgage,330345997.16,6.97,2025-09-08,120,185251662.07,Late,Low
L000179,C03372,BR046,Business,226277333.31,11.16,2026-03-10,12,110002631.77,Current,Medium
L000180,C06039,BR016,Business,1584080769.09,13.06,2024-06-19,60,569702481.06,Current,Medium
L000181,C09818,BR014,Personal,160150873.76,14.53,2020-05-04,48,70473616.22,Current,Medium
L000182,C08235,BR002,Mortgage,708648989.61,6.13,2026-07-16,180,358216046.53,Current,High
L000183,C01915,BR017,Mortgage,576843394.13,5.91,2024-05-09,120,190648782.3,Current,Low
L000184,C04574,BR041,Personal,434966668.87,11.5,2025-02-19,24,131115493.1,Current,Low
L000185,C07287,BR046,Mortgage,216568877.14,7.64,2024-02-29,180,156932342.93,Late,Medium
L000186,C09074,BR014,Mortgage,703306956.24,8.66,2025-01-14,120,380762638.46,Current,High
L000187,C04730,BR024,Personal,567669524.23,12.02,2026-07-09,36,192361877.51,Current,Low
L000188,C07272,BR007,Personal,119749370.74,13.25,2026-04-08,48,17103726.3,Current,Low
L000189,C01149,BR049,Personal,86471705.14,16.24,2026-07-05,12,60757088.17,Late,Medium
L000190,C00581,BR030,Personal,3636387267.17,15.85,2025-07-16,36,1347503267.03,Current,Medium
L000191,C07102,BR025,Mortgage,2434707499.57,10.18,2024-03-16,300,1217702642.56,Current,High
L000192,C03622,BR001,Mortgage,656507362.89,5.75,2025-06-27,180,533086316.29,Default,High
L000193,C07300,BR038,Personal,164035091.38,16.44,2021-12-03,36,39009409.16,Current,Low
L000194,C02551,BR040,Mortgage,917316910.65,8.31,2024-07-29,300,546686752.19,Late,High
L000195,C09088,BR027,Mortgage,560500476.84,6.4,2021-05-26,120,488230615.62,Default,High
L000196,C08468,BR038,Personal,125848792.14,11.58,2021-01-15,60,15927884.58,Current,Low
L000197,C08555,BR047,Auto,93282514.27,10.88,2023-03-25,36,63002346.93,Current,Low
L000198,C03925,BR045,Business,538243167.36,12.99,2021-01-29,12,362661205.44,Current,High
L000199,C07365,BR048,Business,293584460.57,9.5,2022-07-07,84,75559811.23,Current,Low
L000200,C06665,BR040,Mortgage,482288349.39,6.07,2020-04-14,120,191432042.87,Current,Medium
L000201,C04248,BR046,Personal,337180868.85,13.55,2025-03-29,48,140436706.2,Current,Low
L000202,C05049,BR004,Auto,193743950.88,9.46,2026-04-22,72,150004979.6,Current,Medium
L000203,C05833,BR050,Mortgage,1060813458.23,6.93,2023-03-17,240,645326990.25,Current,Low
L000204,C08620,BR021,Business,695064521.1,10.39,2023-03-23,12,359344306.02,Current,Medium
L000205,C06842,BR006,Mortgage,694566026.85,7.2,2026-08-29,300,316590927.79,Current,Medium
L000206,C00239,BR019,Business,400612810.46,9.18,2023-11-11,24,196672964.31,Current,Medium
L000207,C02666,BR014,Mortgage,569625305.16,10.34,2026-03-30,300,113155054.25,Current,Medium
L000208,C07433,BR001,Auto,259373084.27,9.11,2026-06-06,48,144072112.43,Current,Medium
L000209,C02468,BR009,Mortgage,2384601935.56,9.13,2021-03-19,300,1480796532.82,Current,High
L000210,C04374,BR038,Mortgage,483010791.34,6.38,2023-12-02,300,229558823.7,Current,Low
L000211,C00661,BR001,Mortgage,1413686714.62,6.64,2024-09-25,180,228127333.61,Current,Medium
L000212,C03572,BR025,Auto,279811866.59,7.8,2023-05-08,48,207968776.05,Current,Low
L000213,C07598,BR038,Mortgage,1751511801.18,5.84,2024-06-14,180,365509546.84,Current,High
L000214,C00421,BR036,Business,274989373.9,12.67,2025-03-23,36,116463458.71,Current,Low
L000215,C07156,BR047,Business,274225731.54,11.3,2024-05-08,24,130308654.67,Current,Low
L000216,C02327,BR039,Auto,495135205.91,8.65,2023-05-31,36,420502226.13,Default,Low
L000217,C09797,BR021,Personal,84981235.84,17.36,2022-04-27,48,11836804.03,Current,Low
L000218,C00799,BR015,Personal,84607796.73,11.65,2022-08-06,12,13212953.35,Current,Low
L000219,C03824,BR032,Personal,332459006.74,14.96,2026-06-27,48,176909964.02,Current,Low
L000220,C05392,BR017,Mortgage,2281081703.04,9.37,2025-09-17,120,1420945277.25,Late,Medium
L000221,C02770,BR046,Mortgage,442628351.22,8.02,2023-12-27,120,292797800.06,Current,Low
L000222,C00777,BR011,Mortgage,1173448563.73,7.21,2025-10-31,300,443387764.44,Current,Medium
L000223,C07072,BR037,Auto,108481753.5,11.41,2025-06-10,72,71377390.63,Current,Low
L000224,C04782,BR038,Personal,505331720.65,13.76,2026-02-27,12,410200990.78,Late,Medium
L000225,C04585,BR028,Mortgage,574138957.83,9.16,2020-02-15,300,387429661.73,Current,Medium
L000226,C08027,BR049,Personal,176261351.73,13.62,2026-05-01,12,63703950.15,Current,High
L000227,C03537,BR018,Mortgage,1619663230.68,10.24,2024-10-15,120,283599158.06,Current,Medium
L000228,C09847,BR030,Auto,308280696.07,11.86,2022-12-22,48,139368442.71,Current,Low
L000229,C05811,BR045,Mortgage,1225759127.88,9.27,2026-01-21,240,880230790.77,Default,Medium
L000230,C04672,BR040,Personal,62996716.81,17.95,2025-04-23,24,50636730.99,Late,Medium
L000231,C06504,BR037,Auto,179178085.69,9.84,2026-08-15,72,47069606.09,Current,Low
L000232,C00748,BR028,Auto,5053605065.59,7.06,2024-08-23,60,2811235806.57,Current,Low
L000233,C01030,BR002,Business,1064891763.31,11.05,2026-04-27,84,419919015.61,Current,Low
L000234,C08745,BR041,Mortgage,2508433779.48,6.51,2022-05-01,300,570957261.07,Current,Low
L000235,C01290,BR044,Auto,503206808.13,9.79,2024-11-26,60,74788082.41,Current,Low
L000236,C05380,BR036,Personal,33670869.11,13.18,2025-07-02,36,22467986.44,Current,Low
L000237,C08840,BR022,Personal,108468307.6,12.95,2025-04-02,24,47567110.45,Late,High
L000238,C09226,BR027,Auto,482830812.69,10.34,2025-11-17,36,236460717.58,Late,Medium
L000239,C08908,BR020,Personal,131655818.71,11.09,2024-07-09,60,41190323.25,Current,Low
L000240,C09979,BR047,Mortgage,2530509874.76,6.31,2022-09-28,120,1348180860.77,Late,Low
L000241,C05564,BR018,Mortgage,1917483886.75,7.31,2025-10-20,240,1370480655.61,Current,Low
L000242,C00401,BR029,Mortgage,565748072.31,8.5,2023-12-29,300,338384699.92,Late,Medium
L000243,C04495,BR040,Business,1809283031.08,7.95,2024-12-24,84,680717661.6,Current,Medium
L000244,C09472,BR036,Business,196265722.86,13.26,2026-04-01,60,111374784.41,Current,Low
L000245,C00060,BR030,Auto,109742968.24,8.3,2025-03-15,36,16254603.97,Current,Medium
L000246,C03737,BR036,Auto,390656400.09,10.23,2026-03-11,60,310289670.91,Current,High
L000247,C08670,BR044,Personal,101221279.63,15.71,2025-08-24,60,76607009.57,Late,Low
L000248,C00728,BR022,Mortgage,345660713.2,6.51,2025-01-21,180,229000530.6,Current,High
L000249,C03940,BR034,Personal,51595953.22,13.0,2026-03-05,48,13056686.02,Current,Low
L000250,C05191,BR005,Personal,232460584.82,17.81,2026-07-25,48,85290567.29,Current,Low
L000251,C09682,BR035,Business,188076248.5,12.65,2026-07-08,24,107048193.78,Current,Low
L000252,C03658,BR023,Auto,215206193.33,9.54,2024-11-28,48,136524437.92,Current,Medium
L000253,C03580,BR038,Personal,145976849.69,13.71,2026-03-18,48,96669507.04,Default,High
L000254,C00110,BR037,Auto,87833882.22,11.68,2024-02-21,72,65229085.5,Current,Low
L000255,C08682,BR041,Business,537674293.05,11.6,2026-06-11,24,427739479.82,Current,Medium
L000256,C09528,BR044,Personal,245421266.02,15.82,2023-04-04,60,36555318.89,Current,Low
L000257,C05735,BR002,Personal,114268192.95,11.32,2023-05-19,48,82684097.39,Late,Medium
L000258,C08092,BR038,Personal,109086562.77,12.94,2025-08-14,24,69922860.49,Late,High
L000259,C01349,BR024,Auto,137942116.11,9.44,2023-04-24,72,60995334.86,Current,Low
L000260,C01474,BR036,Mortgage,151078345.8,6.51,2025-11-04,120,72148668.93,Current,High
L000261,C04330,BR009,Personal,101642502.14,13.07,2021-08-29,12,65514921.05,Late,High
L000262,C00395,BR042,Mortgage,929888387.16,10.13,2025-01-16,180,828607661.52,Default,High
L000263,C00268,BR022,Mortgage,1095918956.29,8.82,2026-07-03,240,756914427.77,Current,Medium
L000264,C06314,BR046,Personal,129660010.62,13.8,2024-01-14,48,68202135.29,Current,Medium
L000265,C00042,BR007,Mortgage,380015131.21,7.98,2024-09-28,120,58763189.56,Current,Medium
L000266,C03624,BR030,Personal,342791428.39,12.37,2025-09-08,36,269294588.84,Current,Low
L000267,C08604,BR044,Personal,283529100.09,13.41,2025-01-17,24,87899266.82,Current,Low
L000268,C03661,BR034,Auto,220576932.72,11.02,2026-07-09,48,61509302.53,Current,Low
L000269,C09298,BR038,Personal,71507469.11,10.09,2025-05-03,36,26172651.84,Current,Medium
L000270,C08011,BR040,Auto,3287969475.05,9.33,2023-12-26,48,1827526439.65,Late,Low
L000271,C06409,BR038,Personal,158496273.87,14.26,2021-08-12,60,120840443.81,Current,Low
L000272,C03090,BR023,Personal,84891239.85,14.67,2024-04-06,12,42233178.87,Current,Low
L000273,C09688,BR001,Mortgage,831940977.13,8.25,2024-01-13,300,634855307.7,Late,High
L000274,C07182,BR047,Auto,503792686.42,8.88,2024-05-10,60,100368871.04,Current,Low
L000275,C02355,BR013,Mortgage,767130035.92,9.35,2024-03-16,120,355072959.76,Late,High
L000276,C07338,BR022,Auto,341270776.52,11.39,2021-08-18,36,160596527.72,Current,Low
L000277,C05561,BR033,Mortgage,793329418.73,10.07,2024-02-14,180,171076307.7,Current,High
L000278,C03150,BR023,Mortgage,1248823638.29,6.59,2025-04-22,120,302766822.44,Current,Medium
L000279,C00780,BR031,Personal,140784364.55,11.05,2023-01-02,24,109985616.09,Current,Medium
L000280,C08969,BR019,Mortgage,950503803.8,8.86,2025-11-07,120,582845148.42,Late,High
L000281,C05485,BR006,Business,317322412.69,9.8,2025-10-18,84,135188574.8,Late,Low
L000282,C03954,BR015,Personal,168779346.24,13.45,2026-08-11,12,74563962.61,Current,Low
L000283,C02128,BR014,Personal,285365127.48,11.51,2025-02-13,60,125784749.71,Current,Low
L000284,C08815,BR030,Auto,207040059.41,7.16,2020-03-08,48,95963949.43,Current,Low
L000285,C03384,BR042,Business,352518173.2,9.18,2026-02-21,24,221155464.08,Current,Low
L000286,C08477,BR019,Personal,351301203.53,12.64,2026-08-08,48,280509339.86,Current,Low
L000287,C02822,BR044,Auto,261071677.83,11.6,2023-09-16,36,178381315.67,Late,High
L000288,C03744,BR018,Personal,57012937.71,13.0,2026-08-22,12,6493664.75,Current,High
L000289,C00509,BR044,Personal,59597015.43,14.8,2025-03-01,24,47096666.44,Current,Medium
